Date,Settlement_Period,Generator_Name,Generator_Full_Name,BOA_Volume
2025-04-01,17,SGRWO-2,Seagreen 2,-62.2
2025-04-01,18,SGRWO-1,Seagreen 1,-49.366
2025-04-01,18,SGRWO-2,Seagreen 2,-72
2025-04-01,19,SGRWO-1,Seagreen 1,-61.6
2025-04-01,19,SGRWO-2,Seagreen 2,-74
2025-04-01,20,SGRWO-2,Seagreen 2,-80
2025-04-01,21,SGRWO-2,Seagreen 2,-63.666
2025-04-01,22,SGRWO-5,Seagreen 5,-55.634
2025-04-01,23,SGRWO-2,Seagreen 2,-57.4
2025-04-01,23,SGRWO-5,Seagreen 5,-5.366
2025-04-01,24,SGRWO-2,Seagreen 2,-72
2025-04-01,25,BROCW-1,Broken Cross,-1.974
2025-04-01,25,BTUIW-3,Beinn an Tuirc Phase 3,-7.466
2025-04-01,25,GORDW-2,Gordonbush Ext,-1.65
2025-04-01,25,HALSW-1,Halsary Forest,-1.516
2025-04-01,25,NNGAO-1,Neart Na Gaoithe 1,-3.954
2025-04-01,25,NNGAO-2,Neart Na Gaoithe 2,-6.18
2025-04-01,25,SGRWO-2,Seagreen 2,-9.4
2025-04-01,25,SGRWO-5,Seagreen 5,-42.1
2025-04-01,25,VKNGW-1,Viking 1,-11.3
2025-04-01,25,VKNGW-2,Viking 2,-9.984
2025-04-01,25,VKNGW-3,Viking 3,-8.7
2025-04-01,25,VKNGW-4,Viking 4,-8.684
2025-04-01,26,BROCW-1,Broken Cross,-13
2025-04-01,26,BTUIW-3,Beinn an Tuirc Phase 3,-34
2025-04-01,26,CRDEW-1,Crossdykes,-0.3
2025-04-01,26,CRDEW-2,Crossdykes 2,-0.3
2025-04-01,26,CUMHW-1,Cumberhead (Revised),-1.3
2025-04-01,26,DOUGW-1,Douglas West,-1.464
2025-04-01,26,GORDW-2,Gordonbush Ext,-9.016
2025-04-01,26,HALSW-1,Halsary Forest,-7
2025-04-01,26,NNGAO-1,Neart Na Gaoithe 1,-116.964
2025-04-01,26,NNGAO-2,Neart Na Gaoithe 2,-139.356
2025-04-01,26,SGRWO-1,Seagreen 1,-154.416
2025-04-01,26,SGRWO-2,Seagreen 2,-43
2025-04-01,26,SGRWO-3,Seagreen 3,-86.434
2025-04-01,26,SGRWO-4,Seagreen 4,-50.466
2025-04-01,26,SGRWO-5,Seagreen 5,-58.016
2025-04-01,26,SOKYW-1,South Kyle,-10.05
2025-04-01,26,VKNGW-1,Viking 1,-54.034
2025-04-01,26,VKNGW-2,Viking 2,-47.034
2025-04-01,26,VKNGW-3,Viking 3,-42.016
2025-04-01,26,VKNGW-4,Viking 4,-41.034
2025-04-01,26,WDRGW-1,Windy Rig,-2.334
2025-04-01,27,BROCW-1,Broken Cross,-10.546
2025-04-01,27,BTUIW-3,Beinn an Tuirc Phase 3,-34
2025-04-01,27,CRDEW-1,Crossdykes,-3.984
2025-04-01,27,CRDEW-2,Crossdykes 2,-3.15
2025-04-01,27,CUMHW-1,Cumberhead (Revised),-1.334
2025-04-01,27,DOUGW-1,Douglas West,-1.466
2025-04-01,27,GORDW-2,Gordonbush Ext,-10
2025-04-01,27,HALSW-1,Halsary Forest,-7
2025-04-01,27,NNGAO-1,Neart Na Gaoithe 1,-161.5
2025-04-01,27,NNGAO-2,Neart Na Gaoithe 2,-117.732
2025-04-01,27,SGRWO-1,Seagreen 1,-132.606
2025-04-01,27,SGRWO-2,Seagreen 2,-72
2025-04-01,27,SGRWO-3,Seagreen 3,-129.266
2025-04-01,27,SGRWO-4,Seagreen 4,-46.034
2025-04-01,27,SGRWO-5,Seagreen 5,-58.016
2025-04-01,27,SOKYW-1,South Kyle,-24.15
2025-04-01,27,VKNGW-1,Viking 1,-57.066
2025-04-01,27,VKNGW-2,Viking 2,-50.066
2025-04-01,27,VKNGW-3,Viking 3,-45.066
2025-04-01,27,VKNGW-4,Viking 4,-45.05
2025-04-01,27,WDRGW-1,Windy Rig,-5
2025-04-01,28,BROCW-1,Broken Cross,-21
2025-04-01,28,BTUIW-3,Beinn an Tuirc Phase 3,-33
2025-04-01,28,CRDEW-1,Crossdykes,-3.466
2025-04-01,28,CRDEW-2,Crossdykes 2,-3.466
2025-04-01,28,CREAW-1,Creag Riabhach,-7.95
2025-04-01,28,CUMHW-1,Cumberhead (Revised),-12.366
2025-04-01,28,DOREW-2,Dorenell 2,-10.666
2025-04-01,28,DOUGW-1,Douglas West,-7.832
2025-04-01,28,GLNKW-1,Glen Kyllachy,-6.966
2025-04-01,28,GORDW-2,Gordonbush Ext,-10
2025-04-01,28,HALSW-1,Halsary Forest,-9
