Date,Settlement_Period,Generator_Name,Generator_Full_Name,BOA_Volume
2025-04-01,25,BTUIW-3,Beinn an Tuirc Phase 3,-7.466
2025-04-01,26,BTUIW-3,Beinn an Tuirc Phase 3,-34.0
2025-04-01,27,BTUIW-3,Beinn an Tuirc Phase 3,-34.0
2025-04-01,28,BTUIW-3,Beinn an Tuirc Phase 3,-33.0
2025-04-01,29,BTUIW-3,Beinn an Tuirc Phase 3,-32.0
2025-04-01,30,BTUIW-3,Beinn an Tuirc Phase 3,-33.0
2025-04-01,31,BTUIW-3,Beinn an Tuirc Phase 3,-33.0
2025-04-01,32,BTUIW-3,Beinn an Tuirc Phase 3,-33.0
2025-04-01,33,BTUIW-3,Beinn an Tuirc Phase 3,-33.0
2025-04-01,34,BTUIW-3,Beinn an Tuirc Phase 3,-21.534
2025-04-02,4,BTUIW-3,Beinn an Tuirc Phase 3,-4.266
2025-04-02,5,BTUIW-3,Beinn an Tuirc Phase 3,-16.0
2025-04-02,6,BTUIW-3,Beinn an Tuirc Phase 3,-30.742
2025-04-02,7,BTUIW-3,Beinn an Tuirc Phase 3,-0.258
2025-04-02,28,BTUIW-3,Beinn an Tuirc Phase 3,-1.95
2025-04-02,29,BTUIW-3,Beinn an Tuirc Phase 3,-11.0
2025-04-02,30,BTUIW-3,Beinn an Tuirc Phase 3,-9.0
2025-04-02,31,BTUIW-3,Beinn an Tuirc Phase 3,-8.0
2025-04-02,32,BTUIW-3,Beinn an Tuirc Phase 3,-5.0
2025-04-02,33,BTUIW-3,Beinn an Tuirc Phase 3,-3.0
2025-04-02,34,BTUIW-3,Beinn an Tuirc Phase 3,-0.816
2025-04-03,3,BTUIW-3,Beinn an Tuirc Phase 3,-9.334
2025-04-03,4,BTUIW-3,Beinn an Tuirc Phase 3,-16.0
2025-04-03,5,BTUIW-3,Beinn an Tuirc Phase 3,-16.0
2025-04-03,6,BTUIW-3,Beinn an Tuirc Phase 3,-18.0
2025-04-03,7,BTUIW-3,Beinn an Tuirc Phase 3,-18.0
2025-04-03,8,BTUIW-3,Beinn an Tuirc Phase 3,-3.666
2025-04-03,48,BTUIW-3,Beinn an Tuirc Phase 3,-15.0
2025-04-04,1,BTUIW-3,Beinn an Tuirc Phase 3,-45.0
2025-04-04,2,BTUIW-3,Beinn an Tuirc Phase 3,-46.0
2025-04-04,3,BTUIW-3,Beinn an Tuirc Phase 3,-45.0
2025-04-04,4,BTUIW-3,Beinn an Tuirc Phase 3,-45.0
2025-04-04,5,BTUIW-3,Beinn an Tuirc Phase 3,-45.0
2025-04-04,6,BTUIW-3,Beinn an Tuirc Phase 3,-45.0
2025-04-04,7,BTUIW-3,Beinn an Tuirc Phase 3,-44.0
2025-04-04,8,BTUIW-3,Beinn an Tuirc Phase 3,-43.0
2025-04-04,9,BTUIW-3,Beinn an Tuirc Phase 3,-43.0
2025-04-04,10,BTUIW-3,Beinn an Tuirc Phase 3,-43.0
2025-04-04,11,BTUIW-3,Beinn an Tuirc Phase 3,-42.0
2025-04-04,12,BTUIW-3,Beinn an Tuirc Phase 3,-43.0
2025-04-04,13,BTUIW-3,Beinn an Tuirc Phase 3,-43.0
2025-04-04,14,BTUIW-3,Beinn an Tuirc Phase 3,-43.0
2025-04-04,15,BTUIW-3,Beinn an Tuirc Phase 3,-44.0
2025-04-04,16,BTUIW-3,Beinn an Tuirc Phase 3,-31.534
2025-04-04,26,BTUIW-3,Beinn an Tuirc Phase 3,-24.366
2025-04-04,27,BTUIW-3,Beinn an Tuirc Phase 3,-42.0
2025-04-04,28,BTUIW-3,Beinn an Tuirc Phase 3,-42.0
2025-04-04,29,BTUIW-2,Beinn an Tuirc Ext,-5.2
2025-04-04,29,BTUIW-3,Beinn an Tuirc Phase 3,-41.0
2025-04-04,30,BTUIW-2,Beinn an Tuirc Ext,-24.0
2025-04-04,30,BTUIW-3,Beinn an Tuirc Phase 3,-41.0
2025-04-04,31,BTUIW-2,Beinn an Tuirc Ext,-22.0
2025-04-04,31,BTUIW-3,Beinn an Tuirc Phase 3,-40.0
2025-04-04,32,BTUIW-2,Beinn an Tuirc Ext,-17.0
2025-04-04,32,BTUIW-3,Beinn an Tuirc Phase 3,-41.0
2025-04-04,33,BTUIW-2,Beinn an Tuirc Ext,-7.0
2025-04-04,33,BTUIW-3,Beinn an Tuirc Phase 3,-39.0
2025-04-04,34,BTUIW-3,Beinn an Tuirc Phase 3,-22.666
2025-04-05,1,BTUIW-3,Beinn an Tuirc Phase 3,-34.4
2025-04-05,2,BTUIW-3,Beinn an Tuirc Phase 3,-43.0
2025-04-05,3,BTUIW-3,Beinn an Tuirc Phase 3,-41.0
2025-04-05,4,BTUIW-3,Beinn an Tuirc Phase 3,-40.0
2025-04-05,5,BTUIW-3,Beinn an Tuirc Phase 3,-40.0
2025-04-05,6,BTUIW-3,Beinn an Tuirc Phase 3,-38.0
2025-04-05,7,BTUIW-3,Beinn an Tuirc Phase 3,-38.0
2025-04-05,8,BTUIW-3,Beinn an Tuirc Phase 3,-37.0
2025-04-05,9,BTUIW-3,Beinn an Tuirc Phase 3,-37.0
2025-04-05,10,BTUIW-3,Beinn an Tuirc Phase 3,-35.0
2025-04-05,11,BTUIW-3,Beinn an Tuirc Phase 3,-35.0
